covariate,HR,transition,model,L,U
Word - Letter,1.0337062865735305,age_centered,M4,NA,NA
Word - Para,1.1520305861923694,age_centered,M4,NA,NA
Word - Story,0.7000381579103594,age_centered,M4,NA,NA
Para - Word,1.0710347294127405,age_centered,M4,NA,NA
Para - Story,1.1193013885696803,age_centered,M4,NA,NA
Beginner - Letter,3.4522401377637713,countyKilifi,M4,NA,NA
Beginner - Word,1.900541159167279,countyKilifi,M4,NA,NA
Letter - Beginner,0.11698606021677817,countyKilifi,M4,NA,NA
Letter - Word,1.2318779956623134,countyKilifi,M4,NA,NA
Letter - Para,1.1025006909131314,countyKilifi,M4,NA,NA
Word - Letter,0.596047226067705,countyKilifi,M4,NA,NA
Word - Para,0.8119953010777021,countyKilifi,M4,NA,NA
Word - Story,0.17143110983050128,countyKilifi,M4,NA,NA
Para - Word,1.328632050673924,countyKilifi,M4,NA,NA
Para - Story,0.8955267583929991,countyKilifi,M4,NA,NA
Beginner - Letter,0.02191873345701857,countyKitui,M4,NA,NA
Beginner - Word,1.5141419785554322,countyKitui,M4,NA,NA
Letter - Beginner,13.606455481366014,countyKitui,M4,NA,NA
Letter - Word,0.6967282605530044,countyKitui,M4,NA,NA
Letter - Para,1.0685439677647364,countyKitui,M4,NA,NA
Word - Letter,1.395652251589419,countyKitui,M4,NA,NA
Word - Para,30.56028565939251,countyKitui,M4,NA,NA
Word - Story,0.4194517745559139,countyKitui,M4,NA,NA
Para - Word,69.78080068629508,countyKitui,M4,NA,NA
Para - Story,0.0014236701685923835,countyKitui,M4,NA,NA
Beginner - Letter,1.2310050126132897,parent_ed_highestPrimary,M4,NA,NA
Beginner - Word,0.6282681832587067,parent_ed_highestPrimary,M4,NA,NA
Letter - Beginner,1.2184614139237204,parent_ed_highestPrimary,M4,NA,NA
Letter - Word,0.9674249166483604,parent_ed_highestPrimary,M4,NA,NA
Letter - Para,0.593580536235613,parent_ed_highestPrimary,M4,NA,NA
Word - Letter,3.7515110446825606,parent_ed_highestPrimary,M4,NA,NA
Word - Para,0.9700779250430558,parent_ed_highestPrimary,M4,NA,NA
Word - Story,0.025331204355781504,parent_ed_highestPrimary,M4,NA,NA
Para - Word,0.7708869317660683,parent_ed_highestPrimary,M4,NA,NA
